UITouch.force,physical_force [N]
0.1500,0.2352
0.3833,0.2352
0.6333,0.4704
0.4000,0.2352
0.4333,0.3528
0.4833,0.3822
0.5667,0.4312
0.6333,0.4802
0.7000,0.5292
0.7667,0.5782
0.8833,0.6272
0.9000,0.6762
0.9667,0.7252
1.0333,0.7742
1.1000,0.8232
1.1333,0.8722
1.2833,0.9702
1.3667,1.0192
1.4833,1.1172
2.7833,1.9992
3.3167,2.2834
6.0500,4.5962
